epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,11564.7,1.07122,1.10796,0.00723,0.73846,0.74876,0.83132,0.64699,0.85147,0.75975,0.00498,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,11845.3,1.06928,1.09981,0.00722,0.74066,0.74623,0.83164,0.64736,0.85072,0.76013,0.00498,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,12127.6,1.06897,1.10609,0.00724,0.73801,0.74907,0.83166,0.64788,0.84976,0.76113,0.00497,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,12407.5,1.0678,1.10094,0.00724,0.73689,0.74954,0.8316,0.64796,0.84922,0.76082,0.00496,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,12685.4,1.06435,1.10247,0.00724,0.73698,0.7517,0.83171,0.64831,0.84877,0.75969,0.00496,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,12965.6,1.06022,1.09635,0.00715,0.73713,0.751,0.83179,0.64829,0.84841,0.76046,0.00496,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,13247.4,1.06136,1.09602,0.00714,0.73717,0.75255,0.83199,0.64863,0.84764,0.75971,0.00496,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,13529.4,1.06089,1.09508,0.00714,0.7374,0.75131,0.83249,0.64888,0.84711,0.75863,0.00496,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,13808.6,1.06039,1.09757,0.00719,0.73751,0.75124,0.83275,0.64961,0.84645,0.75765,0.00495,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,14086.5,1.05633,1.09725,0.00717,0.73621,0.75271,0.83306,0.64994,0.84588,0.7563,0.00495,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,14364.8,1.05582,1.09486,0.00712,0.73512,0.75387,0.83311,0.65004,0.84572,0.75471,0.00494,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,14645.7,1.05292,1.08979,0.00709,0.73742,0.75255,0.83293,0.65,0.84532,0.7544,0.00494,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,14926,1.05189,1.08827,0.00712,0.73472,0.7534,0.83263,0.64996,0.8444,0.75456,0.00494,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,15205.9,1.05129,1.08401,0.00708,0.7375,0.7517,0.83289,0.65039,0.8436,0.75253,0.00493,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,15485.7,1.04552,1.08686,0.00707,0.7371,0.75143,0.83322,0.65062,0.84258,0.75037,0.00493,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,15766.6,1.04464,1.08615,0.00703,0.73742,0.75263,0.8335,0.65129,0.84167,0.74921,0.00492,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,16047.8,1.04588,1.0876,0.00708,0.73887,0.75046,0.8333,0.65171,0.84125,0.74817,0.00492,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,16327.8,1.04811,1.0843,0.00709,0.73356,0.75703,0.83301,0.65148,0.84066,0.74861,0.00491,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,16605.3,1.03692,1.08184,0.00699,0.73086,0.76056,0.83326,0.65179,0.84029,0.74752,0.00491,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,16882.8,1.04374,1.08075,0.00701,0.72875,0.76105,0.83326,0.65155,0.84021,0.74667,0.00491,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,17164.5,1.04152,1.07588,0.00703,0.73145,0.75881,0.8336,0.65156,0.84018,0.74584,0.00491,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,17445.5,1.04075,1.07238,0.00706,0.73018,0.76051,0.83367,0.65173,0.83999,0.74562,0.00491,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,17725,1.04109,1.07156,0.00701,0.72846,0.76276,0.83301,0.65147,0.83922,0.74608,0.0049,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,18006.2,1.04204,1.07885,0.007,0.7294,0.76268,0.83346,0.65175,0.83912,0.74537,0.0049,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,18286.9,1.03341,1.07404,0.00694,0.72808,0.7633,0.83319,0.65148,0.83911,0.74575,0.0049,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,18568.5,1.03093,1.07211,0.00693,0.72551,0.76378,0.83254,0.65107,0.839,0.74408,0.00491,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,18849.3,1.03163,1.07792,0.00695,0.72656,0.76144,0.83255,0.65111,0.83868,0.74413,0.0049,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,19128.2,1.02809,1.07194,0.00691,0.72743,0.76075,0.83274,0.6516,0.83795,0.74318,0.0049,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,19408.8,1.0289,1.06598,0.00691,0.72967,0.76051,0.83273,0.65203,0.83707,0.74158,0.00489,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,19692.6,1.02121,1.06288,0.00687,0.7315,0.75943,0.8328,0.65198,0.83692,0.74094,0.00489,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,19977.8,1.02066,1.06282,0.00686,0.72859,0.76167,0.83244,0.65191,0.83586,0.74098,0.00488,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,20256.3,1.02084,1.06324,0.00685,0.7292,0.76121,0.83301,0.65282,0.83519,0.73918,0.00487,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,20532.1,1.02063,1.05769,0.00687,0.73051,0.76075,0.83326,0.65288,0.83455,0.73742,0.00487,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,20813.5,1.01625,1.05711,0.00678,0.72817,0.76361,0.83365,0.65337,0.83376,0.73581,0.00486,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,21097.8,1.01622,1.05516,0.00682,0.72486,0.76608,0.83365,0.65339,0.83343,0.73494,0.00486,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
